recno,GaiaEDR3,RA_ICRS,DE_ICRS,Gmag,e_Gmag,plx,e_plx,Bp-Rp,e_Bp-Rp,pmRA,e_pmRA,pmDE,e_pmDE,_RA_icrs,_DE_icrs
1173,51460756250025088,59.2716,20.7378,18.4483,0.0013,7.27,0.19,3.4261,0.1867,17.87,0.22,-44.37,0.16,59.2715,20.738
358,51616268426009472,58.4293,20.8333,13.9738,7.0E-4,7.44,0.02,1.9915,0.0243,19.85,0.03,-45.52,0.02,58.4292,20.8335
189,51619120284286976,58.3703,20.9072,11.6577,0.0014,7.31,0.02,1.1712,0.0013,19.22,0.03,-44.58,0.02,58.3702,20.9074
579,51677669278703104,59.093,21.1212,15.8289,0.0012,7.55,0.05,2.7979,0.046,19.29,0.06,-46.82,0.03,59.0929,21.1214
167,51694746068624128,59.5902,21.2575,11.2355,8.0E-4,7.34,0.02,1.0231,0.0019,17.66,0.03,-44.94,0.02,59.5901,21.2577
1260,51699041035920768,59.5026,21.3057,19.9768,0.0043,7.24,0.7,3.277,0.2192,17.16,0.84,-45.59,0.5,59.5025,21.3059
542,51717114258148864,59.312,21.5169,15.6707,6.0E-4,7.11,0.04,2.7192,0.0745,21.52,0.07,-42.46,0.03,59.3119,21.5171
138,51742471745296768,58.6161,21.3895,10.7659,8.0E-4,7.49,0.02,0.9149,0.0012,19.09,0.03,-47.24,0.02,58.616,21.3897
1047,51750748145042176,58.7651,21.5192,17.5996,0.001,7.73,0.12,3.3179,0.1339,20.84,0.13,-49.02,0.08,58.765,21.5194
460,51761575759616000,59.019,21.545,15.0937,8.0E-4,7.4,0.07,2.8862,0.0758,19.33,0.08,-48.56,0.05,59.0189,21.5452
783,51765595848971648,59.2909,21.6074,16.6711,0.0011,7.21,0.07,3.068,0.0957,18.32,0.1,-43.95,0.06,59.2908,21.6076
1102,53212205256173824,59.8722,21.6654,17.8635,0.0011,7.17,0.13,3.2933,0.1566,17.96,0.14,-43.03,0.09,59.8721,21.6656
1183,53296592774129920,59.4558,22.1418,18.5402,0.0017,7.34,0.23,3.6547,0.1867,19.27,0.23,-47.21,0.16,59.4557,22.142
342,53335045618385536,59.8455,22.5712,13.7555,0.001,7.46,0.02,1.9051,0.0147,17.95,0.03,-45.48,0.01,59.8454,22.5714
1211,53356722315818368,60.6746,22.4716,18.8559,0.0018,7.46,0.27,3.3364,0.2057,19.18,0.28,-47.91,0.17,60.6745,22.4718
1198,53465573967635456,60.4623,22.9875,18.7011,0.0019,7.52,0.23,3.577,0.2596,19.07,0.29,-46.85,0.17,60.4622,22.9877
78,53783852522073856,60.9341,22.9441,9.5259,1.0E-4,7.28,0.02,0.8013,0.0034,17.57,0.02,-44.82,0.01,60.934,22.9443
940,58259414601023744,54.2953,21.2026,17.2201,0.0017,7.45,0.09,3.1985,0.1265,21.39,0.11,-44.71,0.09,54.2952,21.2028
164,61554650949438208,53.2744,22.134,11.2068,9.0E-4,7.56,0.02,0.9996,0.0014,22.18,0.02,-45.98,0.02,53.2743,22.1342
48,63144716561596288,55.6245,20.1498,8.3566,3.0E-4,7.45,0.03,0.4372,6.0E-4,20.0,0.03,-44.81,0.02,55.6244,20.15
1230,63237655357422336,57.5405,20.6983,19.1565,0.0023,7.24,0.28,3.4217,0.2341,18.35,0.32,-42.45,0.23,57.5404,20.6985
172,63289920816208768,56.5807,20.8796,11.3102,7.0E-4,7.33,0.02,1.0421,0.0027,20.26,0.03,-44.15,0.02,56.5806,20.8798
50,63378981257953152,56.187,20.7478,8.6331,3.0E-4,7.32,0.02,0.5119,5.0E-4,21.16,0.03,-43.03,0.02,56.1869,20.748
701,63391178965446656,55.6238,20.8109,16.4326,9.0E-4,7.48,0.08,3.017,0.1915,19.64,0.1,-46.75,0.07,55.6237,20.8111
